query_id,estrategia,versao,query_text,modelo,rank,doc_id,score,relevante_para_query_original
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,1,751,0.3747483600536476,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,2,68,0.18800851333191487,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,3,918,0.1713077773211224,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,4,247,0.16553123053015575,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,5,916,0.15553989646356078,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,6,1245,0.15499295622924283,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,7,551,0.14941049672978562,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,8,228,0.14915679009512067,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,9,1153,0.14803884091720973,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,Vetorial,10,1082,0.1368421511407475,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,1,751,23.282183089610154,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,2,1209,17.663940963972777,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,3,1153,16.78017003558249,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,4,1245,15.073179931520833,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,5,1082,14.826857459180465,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,6,228,14.439790148659057,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,7,918,13.795402794335022,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,8,895,13.531785112671702,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,9,283,13.053023351954636,False
31,Generalizacao (remove qualificador),original,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,BM25,10,1040,12.660210607605185,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,1,751,0.3539914693885998,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,2,68,0.19358356067662943,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,3,247,0.1704397553138461,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,4,916,0.16015214657611546,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,5,1245,0.15958898783314054,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,6,551,0.1538409907446781,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,7,228,0.15357976090547915,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,8,1153,0.15242866099686256,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,9,918,0.15147393782414242,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,Vetorial,10,698,0.1397333874510774,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,1,751,19.5787708828417,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,2,1209,17.663940963972777,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,3,1153,16.78017003558249,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,4,1245,15.073179931520833,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,5,228,14.439790148659057,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,6,895,13.531785112671702,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,7,283,13.053023351954636,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,8,1082,12.695285948486633,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,9,698,12.486346002941703,False
31,Generalizacao (remove qualificador),modificada,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff body of finite aspect ratio .,BM25,10,68,11.789798457511935,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,1,553,0.36831416223863983,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,2,1099,0.2935764354169583,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,3,1279,0.29258850615751486,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,4,1097,0.27357996519698585,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,5,1100,0.2587286913392222,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,6,1241,0.207396893109724,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,7,1096,0.1854809121372398,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,8,274,0.17086375076195381,True
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,9,1098,0.16628752758531024,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,Vetorial,10,1185,0.16335249884896025,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,1,274,23.808362203908736,True
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,2,553,23.307736745492218,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,3,1279,22.93003615482408,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,4,82,20.902791928774167,True
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,5,1100,15.275672300661956,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,6,1096,14.799876094671065,False
167,Remocao de termos (compressao),original,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,BM25,7,1043,14.658234392739153,False
